Data;Total de casos;Casos por dia;Óbitos por dia;;;;;
26/ago;776135;10465;282;;;;;
27/ago;784453;8318;221;;;;;
28/ago;796209;11756;279;;;;;
29/ago;801422;5213;250;;;;;
30/ago;803404;1982;34;;;;;
31/ago;804342;938;36;;;;;
01/set;814375;10033;361;;;;;
02/set;826331;11956;298;;;;;
03/set;837978;11647;232;;;;;
04/set;845016;7038;186;;;;;
05/set;853085;8069;222;;;;;
06/set;855722;2637;40;;;;;
07/set;857330;1608;24;;;;;
08/set;858783;1453;53;;;;;
09/set;866576;7793;391;;;;;
10/set;874754;8178;283;;;;;
11/set;882809;8055;234;;;;;
12/set;890690;7881;229;;;;;
13/set;892257;1567;39;;;;;
14/set;893349;1092;36;;;;;
15/set;901271;7922;321;;;;;
16/set;909428;8157;290;;;;;
17/set;916821;7393;219;;;;;
18/set;924532;7711;206;;;;;
19/set;931673;7141;249;;;;;
20/set;935300;3627;25;;;;;
21/set;937332;2032;32;;;;;
22/set;945422;8090;282;;;;;
23/set;951973;6551;226;;;;;
24/set;958240;6267;185;;;;;
25/set;964921;6681;200;;;;;
26/set;970888;5967;186;;;;;
27/set;972237;1349;45;;;;;
28/set;973142;905;17;;;;;
29/set;979519;6377;266;;;;;
30/set;985628;6109;231;;;;;
01/out;991725;6097;182;;;;;
02/out;997333;5608;152;;;;;
03/out;1003429;6096;180;;;;;
04/out;1003902;473;42;;;;;
05/out;1004579;677;42;;;;;
06/out;1010839;6260;270;;;;;
07/out;1016755;5916;179;;;;;
08/out;1022404;5649;215;;;;;
09/out;1028190;5786;184;;;;;
10/out;1034816;6626;155;;;;;
11/out;1037660;2844;33;;;;;
12/out;1038344;684;23;;;;;
13/out;1039029;685;35;;;;;
14/out;1045060;6031;227;;;;;
15/out;1051613;6553;149;;;;;
16/out;1057240;5627;180;;;;;
17/out;1062634;5394;122;;;;;
18/out;1063602;968;28;;;;;
19/out;1064039;437;15;;;;;
20/out;1068962;4923;211;;;;;
21/out;1073261;4299;125;;;;;
22/out;1076939;3678;111;;;;;
23/out;1083641;6702;126;;;;;
24/out;1089255;5614;118;;;;;
25/out;1091980;2725;21;;;;;
26/out;1092843;863;6;;;;;
27/out;1098207;5364;132;;;;;
28/out;1103582;5375;122;;;;;
29/out;1108860;5278;112;;;;;
30/out;1113788;4928;136;;;;;
31/out;1116127;2339;56;;;;;
01/nov;1117147;1020;20;;;;;
02/nov;1117795;648;15;;;;;
03/nov;1118544;749;18;;;;;
04/nov;1123299;4755;185;;;;;
05/nov;1125936;2637;168;;;;;
06/nov;1125936;0;0;;;;;
07/nov;1125936;0;0;;;;;
08/nov;1125936;0;0;;;;;
09/nov;1125936;0;0;;;;;
10/nov;1147451;21515;0;;;;;
11/nov;1150872;3421;190;;;;;
12/nov;1156652;5780;295;;;;;
13/nov;1162782;6130;0;;;;;
14/nov;1167422;4640;347;;;;;
15/nov;1168640;1218;15;;;;;
16/nov;1169377;737;12;;;;;
17/nov;1178075;8698;173;;;;;
18/nov;1184496;6421;178;;;;;
19/nov;1191290;6794;147;;;;;
20/nov;1200348;9058;105;;;;;
21/nov;1205435;5087;77;;;;;
22/nov;1209588;4153;11;;;;;
23/nov;1210625;1037;9;;;;;
24/nov;1215844;5219;179;;;;;
25/nov;1224744;8900;146;;;;;
26/nov;1229267;4523;172;;;;;
27/nov;1233587;4320;129;;;;;
28/nov;1238094;4507;146;;;;;
29/nov;1240473;2379;28;;;;;
30/nov;1241653;1180;19;;;;;
01/dez;1250590;8937;195;;;;;
02/dez;1259704;9114;166;;;;;
03/dez;1267912;8208;181;;;;;
04/dez;1276149;8237;151;;;;;
