Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3555901;Interior;Uru;63;3;;
3556008;Interior;Urupês;259;14;;
3556107;Interior;Valentim Gentil;852;14;;
3556206;Interior;Valinhos;3579;118;;
3556305;Interior;Valparaíso;734;20;;
3556354;Interior;Vargem;83;1;;
3556404;Interior;Vargem Grande do Sul;1111;18;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;727;29;;
3556503;Interior;Várzea Paulista;1970;76;;
3556602;Interior;Vera Cruz;159;8;;
3556701;Interior;Vinhedo;2423;42;;
3556800;Interior;Viradouro;568;9;;
3556909;Interior;Vista Alegre do Alto;228;3;;
3556958;Interior;Vitória Brasil;37;0;;
3557006;Interior;Votorantim;3013;98;;
3557105;Interior;Votuporanga;5977;111;;
3557154;Interior;Zacarias;119;1;;
3557204;Interior;Chavantes;172;2;;
3557303;Interior;Estiva Gerbi;171;5;;
;;Ignorado;205;0;;
