Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3513207;Interior;Cristais Paulista;93;1;;
3513306;Interior;Cruzália;24;0;;
3513405;Interior;Cruzeiro;980;36;;
3513504;Interior;Cubatão;7503;217;;
3513603;Interior;Cunha;172;2;;
3513702;Interior;Descalvado;704;7;;
3513801;RMSP (exceto capital);Diadema;10307;445;;
3513850;Interior;Dirce Reis;21;0;;
3513900;Interior;Divinolândia;162;6;;
3514007;Interior;Dobrada;181;2;;
3514106;Interior;Dois Córregos;370;4;;
3514205;Interior;Dolcinópolis;77;5;;
3514304;Interior;Dourado;188;3;;
3514403;Interior;Dracena;1197;33;;
3514502;Interior;Duartina;284;5;;
3514601;Interior;Dumont;491;5;;
3514700;Interior;Echaporã;39;1;;
3514809;Interior;Eldorado;473;7;;
3514908;Interior;Elias Fausto;651;18;;
3514924;Interior;Elisiário;180;4;;
3514957;Interior;Embaúba;59;1;;
3515004;RMSP (exceto capital);Embu das Artes;4194;195;;
3515103;RMSP (exceto capital);Embu-Guaçu;1473;49;;
3515129;Interior;Emilianópolis;93;2;;
3515152;Interior;Engenheiro Coelho;903;22;;
3515186;Interior;Espírito Santo do Pinhal;1059;25;;
3515194;Interior;Espírito Santo do Turvo;56;1;;
3515202;Interior;Estrela d'Oeste;559;15;;
3515301;Interior;Estrela do Norte;66;2;;
3515350;Interior;Euclides da Cunha Paulista;49;3;;
3515400;Interior;Fartura;182;1;;
3515509;Interior;Fernandópolis;3511;63;;
3515608;Interior;Fernando Prestes;153;3;;
3515657;Interior;Fernão;20;0;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;4870;146;;
3515806;Interior;Flora Rica;42;1;;
3515905;Interior;Floreal;51;1;;
3516002;Interior;Flórida Paulista;67;1;;
3516101;Interior;Florínea;38;1;;
3516200;Interior;Franca;7125;215;;
3516309;RMSP (exceto capital);Francisco Morato;3350;141;;
3516408;RMSP (exceto capital);Franco da Rocha;3214;134;;
3516507;Interior;Gabriel Monteiro;53;4;;
3516606;Interior;Gália;81;4;;
3516705;Interior;Garça;801;21;;
3516804;Interior;Gastão Vidigal;84;12;;
3516853;Interior;Gavião Peixoto;267;1;;
3516903;Interior;General Salgado;298;2;;
3517000;Interior;Getulina;301;4;;
3517109;Interior;Glicério;92;2;;
3517208;Interior;Guaiçara;570;6;;
3517307;Interior;Guaimbê;74;3;;
3517406;Interior;Guaíra;1614;46;;
3517505;Interior;Guapiaçu;1067;30;;
3517604;Interior;Guapiara;178;10;;
3517703;Interior;Guará;601;25;;
3517802;Interior;Guaraçaí;94;1;;
3517901;Interior;Guaraci;269;5;;
3518008;Interior;Guarani d'Oeste;59;0;;
3518107;Interior;Guarantã;150;2;;
3518206;Interior;Guararapes;787;12;;
3518305;RMSP (exceto capital);Guararema;574;32;;
3518404;Interior;Guaratinguetá;1954;55;;
3518503;Interior;Guareí;1997;7;;
3518602;Interior;Guariba;1310;35;;
3518701;Interior;Guarujá;10101;424;;
3518800;RMSP (exceto capital);Guarulhos;25903;1628;;
3518859;Interior;Guatapará;136;4;;
3518909;Interior;Guzolândia;87;4;;
3519006;Interior;Herculândia;89;6;;
3519055;Interior;Holambra;470;3;;
3519071;Interior;Hortolândia;7348;163;;
3519105;Interior;Iacanga;311;5;;
3519204;Interior;Iacri;60;0;;
3519253;Interior;Iaras;78;3;;
3519303;Interior;Ibaté;463;6;;
3519402;Interior;Ibirá;450;12;;
3519501;Interior;Ibirarema;161;5;;
3519600;Interior;Ibitinga;1797;49;;
3519709;Interior;Ibiúna;496;31;;
3519808;Interior;Icém;205;3;;
3519907;Interior;Iepê;118;5;;
3520004;Interior;Igaraçu do Tietê;476;15;;
3520103;Interior;Igarapava;720;29;;
3520202;Interior;Igaratá;950;8;;
3520301;Interior;Iguape;667;16;;
3520400;Interior;Ilhabela;2190;14;;
3520426;Interior;Ilha Comprida;190;8;;
3520442;Interior;Ilha Solteira;490;17;;
3520509;Interior;Indaiatuba;6993;253;;
3520608;Interior;Indiana;152;4;;
3520707;Interior;Indiaporã;38;0;;
3520806;Interior;Inúbia Paulista;30;1;;
3520905;Interior;Ipaussu;358;4;;
3521002;Interior;Iperó;302;4;;
3521101;Interior;Ipeúna;144;1;;
3521150;Interior;Ipiguá;307;8;;
3521200;Interior;Iporanga;84;1;;
3521309;Interior;Ipuã;615;23;;
3521408;Interior;Iracemápolis;1305;18;;
3521507;Interior;Irapuã;168;3;;
3521606;Interior;Irapuru;109;2;;
3521705;Interior;Itaberá;295;3;;
3521804;Interior;Itaí;166;1;;
3521903;Interior;Itajobi;504;11;;
3522000;Interior;Itaju;189;1;;
